 x, y
0.000297,0.0011
0.000892,0.0011
0.00149,-0.00171
0.00208,-0.00171
0.00267,-0.00171
0.00357,-0.00171
0.00475,-0.00171
0.00594,-0.00171
0.00654,-0.00171
0.00713,0.0011
0.00832,0.0011
0.00921,0.0011
0.0101,0.0011
0.0116,-0.00171
0.0128,-0.00452
0.0152,-0.00452
0.0163,-0.00171
0.0181,-0.00171
0.0196,-0.00171
0.0211,-0.00452
0.0229,-0.00733
0.0244,-0.00733
0.0256,-0.00733
0.027,-0.00733
0.0288,-0.00733
0.0306,-0.00733
0.0318,-0.00733
0.0327,-0.00733
0.0339,-0.0101
0.0354,-0.013
0.0371,-0.013
0.0383,-0.013
0.0398,-0.0158
0.0419,-0.0158
0.0437,-0.0158
0.0449,-0.0158
0.0464,-0.0158
0.0475,-0.0158
0.0493,-0.0186
0.0505,-0.0186
0.0517,-0.0186
0.0523,-0.0214
0.0535,-0.0242
0.0547,-0.0242
0.0556,-0.0242
0.0571,-0.0242
0.0585,-0.0242
0.0597,-0.027
0.0612,-0.0298
0.0633,-0.0242
0.0645,-0.027
0.0648,-0.0298
0.066,-0.0326
0.0678,-0.0326
0.0698,-0.0355
0.0719,-0.0355
0.0752,-0.0383
0.0776,-0.0411
0.0808,-0.0383
0.0823,-0.0383
0.0832,-0.0383
0.0844,-0.0383
0.0859,-0.0411
0.0865,-0.0411
0.0874,-0.0411
0.0883,-0.0411
0.0889,-0.0411
0.0897,-0.0411
0.0909,-0.0411
0.0906,-0.0411
0.0918,-0.0411
0.0924,-0.0411
0.0933,-0.0411
0.0939,-0.0383
0.0945,-0.0383
0.0957,-0.0355
0.0969,-0.0326
0.0978,-0.0355
0.099,-0.0355
0.101,-0.0326
0.102,-0.0326
0.103,-0.0298
0.104,-0.027
0.106,-0.0242
0.107,-0.0214
0.108,-0.0186
0.108,-0.0158
0.109,-0.013
0.11,-0.0101
0.111,-0.00733
0.112,-0.00452
0.113,-0.00171
0.114,0.00391
0.115,0.00954
0.116,0.0152
0.117,0.0208
0.118,0.0264
0.119,0.0348
0.12,0.0461
0.121,0.0545
0.123,0.063
0.124,0.0714
0.125,0.0826
0.126,0.0911
0.127,0.0995
0.129,0.125
0.13,0.139
0.132,0.153
0.133,0.164
0.134,0.178
0.135,0.195
0.136,0.206
0.137,0.218
0.138,0.229
0.139,0.237
0.14,0.246
0.141,0.254
0.142,0.265
0.143,0.277
0.144,0.285
0.145,0.294
0.146,0.302
0.147,0.308
0.148,0.316
0.149,0.324
0.151,0.339
0.152,0.35
0.152,0.355
0.154,0.369
0.155,0.375
0.156,0.386
0.158,0.392
0.158,0.4
0.159,0.403
0.161,0.417
0.162,0.423
0.163,0.428
0.164,0.434
0.165,0.44
0.166,0.443
0.168,0.451
0.169,0.462
0.17,0.465
0.171,0.473
0.172,0.479
0.174,0.485
0.175,0.488
0.176,0.493
0.177,0.496
0.177,0.504
0.179,0.51
0.18,0.513
0.181,0.518
0.181,0.521
0.182,0.527
0.183,0.53
0.185,0.535
0.186,0.541
0.188,0.544
0.19,0.552
0.191,0.558
0.193,0.563
0.194,0.572
0.196,0.575
0.197,0.58
0.199,0.586
0.2,0.586
