 x, y
0.00119,0.0011
0.00178,0.0011
0.00267,0.0011
0.00386,0.00391
0.00446,0.0011
0.00565,0.0011
0.00713,-0.00171
0.00802,0.0011
0.00951,-0.00171
0.0107,-0.00171
0.0119,0.0011
0.0128,-0.00452
0.0131,-0.00171
0.0137,-0.00171
0.0149,-0.00171
0.0158,-0.00733
0.0166,-0.00171
0.0175,-0.00171
0.0178,-0.00452
0.0187,-0.00452
0.0202,-0.00452
0.022,-0.00452
0.0223,-0.00733
0.0235,-0.00452
0.0244,-0.00733
0.025,-0.00733
0.0256,-0.00733
0.0264,-0.0101
0.027,-0.0101
0.0282,-0.0101
0.0291,-0.013
0.0303,-0.013
0.0315,-0.013
0.0324,-0.0158
0.0336,-0.0158
0.0345,-0.0186
0.0354,-0.0186
0.0363,-0.0186
0.0374,-0.0214
0.0383,-0.0214
0.0389,-0.0242
0.0401,-0.0242
0.041,-0.027
0.0419,-0.027
0.0428,-0.0298
0.044,-0.0326
0.0452,-0.0326
0.0461,-0.0298
0.047,-0.0383
0.0481,-0.0383
0.0496,-0.0439
0.0511,-0.0439
0.0529,-0.0467
0.0544,-0.0523
0.0562,-0.0551
0.0577,-0.0579
0.0588,-0.0608
0.06,-0.0636
0.0612,-0.0692
0.0621,-0.0692
0.0633,-0.072
0.0639,-0.0748
0.0645,-0.0776
0.0654,-0.0804
0.0663,-0.0833
0.0672,-0.0861
0.0681,-0.0889
0.0689,-0.0917
0.0695,-0.0917
0.0713,-0.1
0.0722,-0.103
0.0731,-0.106
0.0737,-0.109
0.0743,-0.111
0.0749,-0.114
0.0758,-0.12
0.0767,-0.123
0.0773,-0.125
0.0782,-0.128
0.079,-0.134
0.0799,-0.137
0.0805,-0.139
0.0811,-0.142
0.0829,-0.154
0.0847,-0.156
0.0853,-0.165
0.0862,-0.176
0.0877,-0.187
0.0883,-0.193
0.0886,-0.193
0.0895,-0.199
0.0903,-0.201
0.0909,-0.207
0.0915,-0.213
0.0918,-0.215
0.0924,-0.221
0.093,-0.224
0.0936,-0.229
0.0939,-0.229
0.0945,-0.235
0.0948,-0.238
0.0951,-0.241
0.0957,-0.244
0.0963,-0.246
0.0966,-0.252
0.0972,-0.255
0.0975,-0.258
0.0981,-0.26
0.0987,-0.266
0.0993,-0.277
0.0999,-0.28
0.1,-0.283
0.101,-0.289
0.101,-0.291
0.102,-0.297
0.102,-0.303
0.103,-0.308
0.103,-0.314
0.104,-0.319
0.105,-0.325
0.105,-0.331
0.105,-0.333
0.106,-0.339
0.107,-0.348
0.108,-0.353
0.108,-0.359
0.109,-0.364
0.109,-0.37
0.109,-0.378
0.11,-0.381
0.111,-0.393
0.111,-0.398
0.112,-0.398
0.113,-0.409
0.114,-0.412
0.114,-0.418
0.115,-0.429
0.116,-0.435
0.116,-0.446
0.117,-0.449
0.117,-0.452
0.118,-0.457
0.119,-0.463
0.119,-0.468
0.12,-0.471
0.12,-0.477
0.121,-0.48
0.121,-0.483
0.122,-0.488
0.122,-0.491
0.123,-0.494
0.123,-0.499
0.124,-0.502
0.124,-0.502
0.125,-0.505
0.125,-0.508
0.126,-0.508
0.126,-0.508
0.127,-0.508
0.127,-0.508
0.128,-0.508
0.128,-0.508
0.129,-0.505
0.13,-0.505
0.13,-0.502
0.131,-0.502
0.132,-0.499
0.133,-0.499
0.133,-0.491
0.134,-0.483
0.135,-0.48
0.135,-0.477
0.136,-0.471
0.136,-0.468
0.137,-0.463
0.137,-0.457
0.138,-0.449
0.139,-0.44
0.14,-0.432
0.141,-0.421
0.141,-0.412
0.141,-0.401
0.142,-0.395
0.143,-0.393
0.143,-0.384
0.144,-0.378
0.144,-0.37
0.145,-0.362
0.145,-0.362
0.145,-0.356
0.146,-0.35
0.146,-0.345
0.147,-0.339
0.147,-0.331
0.148,-0.322
0.148,-0.311
0.149,-0.303
0.149,-0.294
0.15,-0.286
0.151,-0.28
0.151,-0.272
0.152,-0.266
0.152,-0.26
0.153,-0.252
0.153,-0.244
0.154,-0.235
0.155,-0.227
0.155,-0.218
0.156,-0.21
0.156,-0.201
0.158,-0.187
0.158,-0.182
0.159,-0.173
0.159,-0.168
0.16,-0.159
0.161,-0.151
0.162,-0.145
0.163,-0.134
0.164,-0.128
0.165,-0.12
0.166,-0.114
0.166,-0.109
0.167,-0.106
0.168,-0.1
0.169,-0.0945
0.17,-0.0861
0.171,-0.0776
0.171,-0.072
0.172,-0.0664
0.174,-0.0608
0.174,-0.0579
0.175,-0.0495
0.176,-0.0439
0.178,-0.0411
0.179,-0.0355
0.18,-0.0355
0.182,-0.0298
0.182,-0.027
0.183,-0.0242
0.187,-0.0186
0.187,-0.0186
0.189,-0.0186
0.19,-0.0186
0.191,-0.0186
0.193,-0.0186
0.194,-0.0186
0.195,-0.0186
0.196,-0.0186
0.197,-0.0214
0.197,-0.0214
0.198,-0.0214
0.199,-0.0214
0.199,-0.0214
0.2,-0.0214
